,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
14,Austria,AUT,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.405,3.993,4.571,5.248,6.166,6.512,7.331,7.606,6.382,5.578,5.794,6.538,6.746,11.863,10.304,9.739,9.645,8.598,10.093,9.375,9.089,9.254,10.02,9.929,10.013,10.214,8.711,9.369,7.782,9.496,11.272,9.269,
17,Belgium,BEL,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,15.241,19.692,23.413,23.72,24.428,25.725,23.059,22.449,18.155,16.632,15.184,17.498,19.497,22.047,22.549,20.858,18.718,22.485,22.352,18.741,18.874,22.477,22.316,20.047,18.13,18.067,15.268,12.31,15.121,16.162,14.347,
21,Bulgaria,BGR,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.382,27.877,29.805,23.277,20.237,22.801,25.577,21.972,26.837,29.627,35.341,31.499,24.033,23.785,21.046,20.288,15.953,11.401,13.859,20.123,23.659,26.033,25.695,23.753,22.279,16.917,12.459,11.893,8.296,13.678,15.341,13.835,
53,Cyprus,CYP,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.957,5.249,8.984,7.998,7.425,8.297,8.434,7.684,14.385,13.61,10.16,7.336,8.516,9.313,14.18,10.843,9.025,9.07,13.472,16.623,20.683,26.053,36.09,34.255,30.715,31.775,22.715,16.029,14.179,11.975,16.315,18.921,
54,Czechia,CZE,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.156,5.915,10.548,9.856,8.694,8.316,7.207,12.811,16.97,16.451,16.179,14.979,17.478,17.897,19.053,18.674,10.98,9.915,16.698,18.505,17.931,19.014,19.452,17.091,14.443,11.383,8.756,7.189,5.992,9.133,9.09,8.335,
55,Germany,DEU,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.861,6.553,7.701,8.432,8.198,8.635,9.151,8.541,7.72,7.453,6.405,7.238,8.055,10.233,14.051,12.566,11.095,9.992,9.786,8.784,7.758,7.281,7.082,7.039,6.46,6.095,5.776,5.11,4.767,6.671,6.387,4.986,
58,Denmark,DNK,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.359,12.564,14.74,10.186,12.347,12.379,9.788,7.661,10.494,6.987,9.247,5.182,8.971,7.047,8.567,7.461,7.366,10.311,11.543,13.146,14.382,14.8,13.317,12.847,11.13,10.826,11.883,9.228,9.726,10.615,10.939,9.267,
70,Spain,ESP,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.56,39.858,46.603,49.666,48.356,48.236,45.764,43.126,36.997,32.16,26.419,27.74,26.439,26.425,23.389,21.495,21.716,25.527,36.144,39.603,43.996,51.44,54.611,52.926,47.981,44.911,37.419,33.261,34.469,39.729,35.572,28.443,
71,Estonia,EST,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99,8.159,13.069,11.83,16.363,16.631,15.288,11.713,21.876,19.638,31.065,24.742,31.911,23.89,13.797,15.159,7.149,11.308,21.844,29.525,20.599,18.468,19.789,9.963,13.007,10.615,9.425,11.228,12.114,18.61,14.966,19.842,
75,Finland,FIN,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.152,22.679,30.446,30.709,40.435,41.005,36.869,35.327,31.181,30.847,29.028,29.278,29.39,28.2,19.51,18.438,16.575,15.788,18.909,18.952,18.328,17.968,16.986,18.274,19.63,18.549,19.315,16.758,15.563,19.361,16.392,13.66,
