,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
14,Austria,AUT,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.988,4.25,4.737,4.713,5.663,7.123,7.762,7.38,5.54,6.88,6.189,7.635,7.983,12.221,11.546,9.767,9.212,8.393,11.128,9.503,8.76,9.512,9.352,10.56,11.035,12.09,10.696,9.357,9.12,11.234,10.678,9.498,
17,Belgium,BEL,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.022,11.296,17.373,20.603,19.71,17.29,17.653,18.286,22.723,12.88,14.336,16.02,20.053,15.748,20.987,18.8,17.089,17.354,21.475,22.424,18.727,20.417,24.701,23.948,23.772,21.707,20.253,16.193,15.98,15.506,19.938,18.007,
21,Bulgaria,BGR,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.203,33.263,35.539,27.734,24.091,27.132,30.323,27.03,30.633,35.755,42.228,38.823,29.298,24.956,23.318,18.873,14.492,13.791,17.916,23.259,26.041,29.569,30.282,23.825,21.264,17.446,13.254,13.204,9.309,14.561,16.15,11.165,
37,Switzerland,CHE,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.073,4.802,6.168,4.864,4.729,5.194,7.957,4.715,5.629,5.623,5.757,7.133,8.301,8.05,8.475,7.909,6.808,6.666,7.948,7.76,7.571,8.614,8.717,8.645,9.228,8.753,8.13,8.375,8.76,9.161,8.894,7.488,
53,Cyprus,CYP,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.328,4.056,3.635,4.008,3.879,4.615,5.384,5.558,8.606,6.633,5.791,7.286,8.471,7.509,12.048,8.477,9.716,7.936,12.726,14.991,21.533,27.456,39.38,36.517,33.934,25.679,26.656,24.612,18.851,23.49,17.766,18.5,
54,Czechia,CZE,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.036,4.524,6.972,7.877,7.147,6.419,6.742,9.263,16.132,17.278,16.296,15.587,16.062,21.335,19.311,16.609,10.587,9.822,16.627,18.267,18.146,19.854,18.638,15.044,11.312,9.91,7.386,6.371,5.338,7.213,7.564,6.209,
55,Germany,DEU,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.199,5.447,7.645,9.436,8.704,10.482,11.946,10.846,9.873,9.489,8.991,11.085,13.639,15.369,16.837,14.806,12.632,11.042,12.451,10.715,9.148,8.665,8.436,8.323,7.861,7.836,7.611,7.085,6.596,7.526,7.318,6.395,
58,Denmark,DNK,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.742,12.12,14.484,10.184,7.799,8.96,6.582,6.698,9.354,6.504,7.279,8.725,10.555,8.417,8.622,7.868,7.602,8.657,15.2,17.861,18.137,16.691,16.178,15.516,13.137,13.491,12.892,11.771,10.361,12.529,10.696,8.322,
70,Spain,ESP,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.379,27.689,38.675,40.918,36.239,36.371,33.501,29.181,22.898,19.629,16.43,16.859,19.182,19.478,16.724,14.99,15.225,23.589,39.06,43.108,48.117,54.142,56.213,53.442,48.683,44.094,39.559,35.259,30.928,37.114,34.142,28.252,
71,Estonia,EST,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.027,6.902,9.353,10.993,12.366,15.214,20.606,17.063,22.16,22.131,18.002,17.209,23.684,26.736,16.068,9.965,12.138,12.583,31.508,35.611,23.801,22.739,17.764,19.164,15.412,17.165,14.584,12.819,11.164,18.251,18.209,20.511,
75,Finland,FIN,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.424,25.96,31.076,31.513,40.805,41.33,33.854,33.5,28.584,28.591,26.686,29.711,28.529,28.542,20.399,18.77,16.263,16.883,23.85,23.476,21.479,19.735,22.622,22.552,25.052,21.557,20.756,17.129,18.503,22.915,17.631,15.248,
77,France,FRA,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.783,18.339,23.137,26.735,23.39,24.731,26.61,23.887,24.505,18.885,15.926,17.396,16.446,19.657,19.395,20.29,18.229,18.436,23.934,22.047,21.261,23.988,23.718,25.083,25.713,24.88,22.931,21.455,20.673,20.323,18.93,18.128,
81,United Kingdom,GBR,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.95,19.057,20.926,19.382,18.069,17.989,15.621,13.964,14.159,13.362,11.678,12.74,12.964,11.524,14.188,15.531,15.723,16.882,21.722,21.765,23.588,23.72,22.77,18.728,16.033,14.631,13.35,12.099,12.809,15.153,14.303,11.579,
89,Greece,GRC,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.553,16.929,18.616,19.548,19.287,21.237,21.984,21.159,22.813,21.901,21.05,18.785,17.921,18.705,18.977,17.706,15.639,16.942,19.602,26.879,38.796,48.472,53.678,47.36,45.162,44.116,39.194,36.246,33.292,31.268,30.896,24.33,
99,Croatia,HRV,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.93,39.948,37.213,35.222,32.344,29.545,28.615,32.096,36.654,41.584,37.841,34.161,33.548,29.132,29.938,26.969,22.02,20.531,23.644,31.419,37.015,42.139,49.931,44.938,41.478,31.26,27.141,19.644,14.588,18.77,18.976,12.698,
101,Hungary,HUN,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.595,21.56,26.425,24.268,20.734,20.812,18.79,17.099,13.495,13.674,11.507,12.29,13.414,14.514,19.56,18.584,17.391,18.858,27.775,27.692,26.944,29.014,25.546,19.962,18.227,12.904,9.706,9.797,11.918,11.86,11.977,10.561,
111,Ireland,IRL,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.042,23.626,26.007,24.274,19.603,18.52,16.274,11.545,8.465,6.115,6.297,8.5,8.752,8.674,8.764,8.645,10.248,16.475,31.589,34.824,36.159,37.431,30.32,26.589,23.598,19.655,16.046,14.782,14.168,15.236,14.423,10.222,
116,Italy,ITA,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.184,24.234,26.258,28.665,29.744,30.782,29.747,30.288,28.634,28.362,24.794,23.787,23.907,21.021,21.625,19.301,18.403,18.854,23.235,26.898,27.158,33.757,39.058,41.294,38.839,36.475,32.978,30.422,27.765,27.926,27.706,22.854,
143,Lithuania,LTU,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.185,2.404,27.48,27.279,34.265,31.896,27.325,29.26,28.831,29.535,36.584,19.588,22.225,22.503,15.974,9.523,6.98,12.981,35.18,39.029,34.949,29.792,23.054,19.694,16.071,15.93,14.579,12.007,14.122,21.462,13.977,12.622,
144,Luxembourg,LUX,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.889,4.263,4.412,8.495,6.78,10.123,5.602,5.828,6.206,5.655,7.102,5.315,9.711,12.022,11.685,16.771,13.382,12.51,16.658,17.469,13.317,18.722,18.677,25.729,18.892,19.697,17.178,16.294,17.756,24.862,17.749,18.655,
145,Latvia,LVA,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.928,12.082,30.134,33.477,34.069,37.019,26.84,27.57,26.283,20.98,24.312,25.247,16.109,15.605,12.827,11.979,11.032,14.094,36.699,37.519,31.452,27.912,21.912,19.386,18.012,21.359,18.253,12.486,14.208,14.393,14.924,16.806,
