,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
14,Austria,AUT,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.60388,,,,,,,,,36.85693,35.62528,36.21659,34.27502,31.49534,37.06478,36.28273,35.81112,35.98491,36.23652,,,,,,,
17,Belgium,BEL,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.67031,,,35.75914,36.52921,34.75718,33.49417,,32.88551,33.64922,32.32961,32.207,,,,,,,
21,Bulgaria,BGR,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.54322,,,17.52585,17.79191,26.76978,16.79781,22.47607,21.22325,17.64733,23.21855,24.07497,14.73756,15.58112,15.98498,16.60156,,,,,,,,,,
37,Switzerland,CHE,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.30925,49.83525,48.8117,50.72625,55.13934,59.04268,57.3849,50.31276,48.16911,42.27089,39.80314,42.03798,39.23296,39.66926,41.6314,40.54859,40.97992,37.67913,37.4052,,,,,,,
53,Cyprus,CYP,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.59101,56.96032,38.57723,41.04825,55.75497,47.03364,52.86496,54.32611,50.54004,51.44913,48.41747,34.63859,35.54752,,38.17135,32.45829,29.2699,26.51745,,,,,,,
54,Czechia,CZE,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5707,31.29979,28.00656,28.47715,28.4727,30.4928,27.60946,24.82194,34.10426,27.96386,23.48651,24.27003,21.93534,25.92255,24.24582,21.76193,20.49576,20.98863,20.34101,,,,,,,
55,Germany,DEU,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.53355,37.25767,36.11148,33.95677,33.58129,,,,,,,
58,Denmark,DNK,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.29751,64.40718,68.46375,73.58267,71.96577,65.09406,60.92935,54.10622,52.11558,52.29962,50.38598,54.98638,53.95163,50.9369,41.8996,42.55885,43.12666,,,,,,,,,
70,Spain,ESP,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.62106,19.38165,20.18436,20.93246,21.35733,22.17697,22.15535,22.28554,23.01221,24.62767,26.80364,28.60976,27.99309,27.3279,23.84988,23.29205,22.98794,22.91741,21.81691,,,,,,,
71,Estonia,EST,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.25692,31.30347,32.02581,,24.60233,24.50902,21.97225,17.71677,18.35466,,19.98312,21.50515,25.63828,23.18904,24.17478,20.40295,27.77545,31.87478,33.95498,36.92339,,,,,,,
75,Finland,FIN,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0179,37.27151,35.74196,35.85259,35.35128,34.62936,32.91852,32.03604,30.50613,31.10585,37.05012,36.80425,36.27448,36.01216,35.47931,35.79621,34.49292,33.93205,,,,,,,
77,France,FRA,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99279,29.49665,,,34.20437,34.27348,33.63592,33.76937,35.15927,36.00706,38.9199,37.30938,36.36891,34.06808,33.75392,33.43725,32.96949,31.62493,,,,,,,
81,United Kingdom,GBR,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.90508,22.71169,20.67319,20.34455,25.48431,24.79769,24.37405,29.03337,26.05054,22.14017,20.34569,18.77949,23.64564,31.421,,40.20748,41.20273,35.35066,37.99046,,,,,,,
89,Greece,GRC,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.67499,24.45624,19.86329,23.33121,22.87172,20.64593,23.31321,24.31325,,,,,,,,,,11.19976,,,,,,,,
99,Croatia,HRV,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.02916,42.32382,,27.90867,25.35383,23.60723,,,24.19965,28.17146,25.58302,22.24972,25.54797,,25.74607,,,,,,,,,,
101,Hungary,HUN,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7165,33.45153,33.96201,32.02379,31.35122,31.07815,23.87014,23.28688,23.32975,23.64241,24.17084,27.59751,24.65824,28.09955,21.15852,25.40906,23.33577,21.24612,25.40887,,,,,,,
111,Ireland,IRL,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.44398,27.92329,29.67067,27.12143,25.30856,23.00727,22.74967,23.4954,25.00394,25.42936,31.84588,36.18447,31.53732,29.69555,28.56806,25.6625,22.76605,18.99692,15.54304,,,,,,,
116,Italy,ITA,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.14214,26.50089,25.58481,24.00849,25.31716,22.40146,21.60069,21.07472,22.08651,20.92153,23.56882,24.34607,24.44501,24.20626,24.53473,26.27299,26.27229,25.26641,24.32675,,,,,,,
143,Lithuania,LTU,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.90075,,,,33.82001,32.19494,20.07651,19.5678,17.39589,16.30627,16.13788,16.01176,16.8635,19.20368,23.57808,24.55553,24.57223,26.89075,24.80784,17.99265,,,,,,,
144,Luxembourg,LUX,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39603,,41.11313,42.75533,,,,,,,,
145,Latvia,LVA,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.05098,31.62065,27.03476,22.31439,19.38636,18.0672,13.52347,11.57517,,14.28632,14.70856,15.96512,13.29023,15.03855,20.04302,29.38398,29.62048,25.51264,27.37707,17.72948,,,,,,,
159,Malta,MLT,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0831,,,,44.34047,,25.0676,,,37.47493,42.59991,45.02282,56.31045,39.27497,49.69013,51.35467,47.10169,44.39611,,,,,,,,
176,Netherlands,NLD,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.66199,,,,,,,,,,,,,,,,,33.0426,35.77867,,,,,,,
177,Norway,NOR,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.01137,46.4702,44.93575,38.62209,42.8673,47.12988,48.46343,50.3261,48.03716,43.72583,45.65673,45.04542,47.54835,43.44995,41.54993,,40.53579,42.40292,37.31122,39.82164,,,,,,,
190,Poland,POL,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.99816,20.86802,17.49334,18.02418,21.06039,19.66127,21.2374,21.27606,16.93912,16.4316,18.22712,18.61018,20.43721,20.12839,22.51235,25.41659,26.48911,28.11992,25.41068,,,,,,,
194,Portugal,PRT,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.96595,25.76338,26.2307,23.78989,24.84234,22.04932,25.33618,26.77534,32.0895,25.4724,29.20305,30.01118,26.87704,,25.06298,26.89935,26.90651,,,,,,,,
201,Romania,ROU,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.42157,26.0169,23.40972,22.04941,23.43859,22.90097,24.58628,21.8697,20.9931,20.16143,19.57137,22.92328,19.26711,24.87677,24.0546,26.09842,,,,,,,
221,Slovak Republic,SVK,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.28855,,32.34944,28.20551,30.24759,30.28029,28.17706,31.37897,23.41832,23.86542,18.98153,17.79834,18.18657,18.56976,22.08985,26.93199,31.19209,33.17606,42.08415,27.60007,,,,,,,
222,Slovenia,SVN,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.27497,25.075,24.99642,24.43072,21.91823,21.2182,20.71162,20.82911,24.07962,23.85399,25.80786,23.72584,23.84235,23.72155,23.84036,24.3256,,,,,,,
223,Sweden,SWE,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.97767,49.35435,47.34424,46.49734,46.14802,42.7137,40.00729,38.13697,36.87251,36.26481,39.06096,42.34718,39.56612,38.42777,42.38743,43.45347,43.82746,43.11866,43.24651,,,,,,,
