,Country Name,Year,Unemployment Rate,Education Expenditure (% Government Expenditure)
0,Austria,1991,3.405,
1,Belgium,1991,17.2,
2,Bulgaria,1991,20.382,10.9380292892456
3,Switzerland,1991,3.497,15.5292482376099
4,Cyprus,1991,9.957,
5,Czechia,1991,4.156,
6,Germany,1991,5.861,8.46196365356445
7,Denmark,1991,12.359,
8,Spain,1991,37.56,
9,Estonia,1991,3.99,
10,Finland,1991,13.152,
11,France,1991,22.616,
12,United Kingdom,1991,11.459,
13,Greece,1991,33.725,
14,Croatia,1991,38.559,
15,Hungary,1991,13.408,
16,Ireland,1991,20.767,
17,Italy,1991,33.929,
18,Lithuania,1991,1.83,
19,Luxembourg,1991,2.285,
20,Latvia,1991,5.358,
21,Malta,1991,10.066,
22,Netherlands,1991,12.002,
23,Norway,1991,11.717,
24,Poland,1991,28.888,
25,Portugal,1991,11.669,
26,Romania,1991,25.912,
27,Slovak Republic,1991,21.125,
28,Slovenia,1991,19.398,
29,Sweden,1991,7.261,
30,Austria,1992,3.993,
31,Belgium,1992,15.241,
32,Bulgaria,1992,27.877,11.9182796478271
33,Switzerland,1992,4.252,15.3484115600586
34,Cyprus,1992,5.249,
35,Czechia,1992,5.915,
36,Germany,1992,6.553,9.04996490478516
37,Denmark,1992,12.564,
38,Spain,1992,39.858,
39,Estonia,1992,8.159,
40,Finland,1992,22.679,
41,France,1992,24.982,
42,United Kingdom,1992,11.683,
43,Greece,1992,34.417,
44,Croatia,1992,36.696,
45,Hungary,1992,14.886,
46,Ireland,1992,20.387,
47,Italy,1992,33.131,
48,Lithuania,1992,2.011,
49,Luxembourg,1992,3.114,
50,Latvia,1992,13.088,
51,Malta,1992,10.113,
52,Netherlands,1992,8.576,
53,Norway,1992,12.268,
54,Poland,1992,29.951,
55,Portugal,1992,10.789,
56,Romania,1992,26.246,
57,Slovak Republic,1992,21.585,
58,Slovenia,1992,21.81,
59,Sweden,1992,10.939,
60,Austria,1993,4.571,
61,Belgium,1993,19.692,
62,Bulgaria,1993,29.805,10.8772258758545
63,Switzerland,1993,5.495,14.8963422775269
64,Cyprus,1993,8.984,
65,Czechia,1993,10.548,
66,Germany,1993,7.701,9.23796844482422
67,Denmark,1993,14.74,
68,Spain,1993,46.603,
