"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7904530280701","13.6449964205245","13.4884939331582","13.3471833455495","13.28438686621","13.3795819122905","13.5257776235302","13.519254840721","13.539340204256","13.471498395165","13.5062457635861","13.5978803521417","13.684619553761","13.4400305634997","13.2321370173758","13.1838432597082","13.0451721501665","12.9063433133577","13.4402240903566","15.4872641447542","14.8330395152699","14.6599501495892","14.2276516429753","14.0531445204685","14.036335955309","14.2608563885896","14.1700357834469","14.0699189312921","14.3907733106011","15.576092352438","15.5140999389129","15.4324453400612",
"Afghanistan","AFG","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.9","15.891","15.776","15.71","15.841","15.683","15.543","15.475","15.388","15.286","15.143","15.183","14.97","14.755","14.694","14.568","14.57","14.389","14.351","14.214","13.905","13.813","13.556","13.34","15.959","18.562","21.137","21.056","21.046","21.228","","",
"Africa Western and Central","AFW","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.19776479434054","8.42119235678906","8.43012725155432","8.38656439127486","8.3170327540797","8.32087907788932","8.37459396601887","8.42159565801933","8.69470191138592","8.70331811740367","8.62650184348456","8.48371135737536","8.52280177265177","8.55084333975404","8.61637935830353","8.51592025833659","8.47180729199055","8.52983166584371","8.62787250365979","8.70806084641506","8.56903146759077","8.93644071471436","8.88133591253458","9.05811377378276","9.38900820652064","9.17198935269464","9.1966906776573","9.42114063740217","9.48911590568963","11.1899181803257","10.5644955985947","10.3949861942201",
"Angola","AGO","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.072","8.055","8.104","7.892","7.745","7.668","7.616","7.543","7.471","7.38","7.275","7.129","7.094","6.96","6.848","6.762","6.65","6.568","6.525","21.682","17.207","16.664","16.315","15.983","16.019","16.045","16.001","16.006","15.972","17.817","17.424","17.175",
"Albania","ALB","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.645","40.954","34.55","28.415","21.177","19.427","23.828","29.679","30.539","27.812","28.388","27.396","26.19","25.261","24.936","24.512","25.075","26.793","28.479","31.99","19.475","23.06","27.054","32.59","40.274","34.102","27.429","25.765","26.005","30.112","28.681","27.089",
"Andorra","AND","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.8588903978114","25.5025473091752","28.4079693630025","29.7010170192327","31.3675757163857","28.3961295677263","28.9639299300955","29.2718218518207","28.2517148011418","31.9925866522095","32.6136145369391","30.7750104474576","31.3263088072036","32.9001969643347","33.6488739952788","34.2264297371858","33.4843751747442","35.3894516950095","36.4280336017063","37.9557483257874","38.601759760733","40.7389838214376","40.4447725893644","40.4704789538804","39.7174533155709","38.948883829187","42.5315711250706","45.7530524266812","45.3795684953681","46.4680367328706","43.1077735954728","43.3794513429695",
"United Arab Emirates","ARE","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.069","4.943","4.873","4.762","4.691","4.792","4.835","4.933","4.973","4.993","6.603","8.151","9.643","11.216","12.847","12.249","11.777","11.23","10.931","10.505","10.16","9.904","9.606","9.323","9.023","8.728","15.614","14.123","17.018","18.9","20.495","18.824",
"Argentina","ARG","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.964","14.041","26.437","29.382","46.478","40.759","37.758","30.01","32.196","34.944","36.626","39.74","38.213","34.547","30.658","29.211","24.408","22.124","24.525","23.533","22.09","23.035","23.293","22.255","23.583","25.627","26.945","27.87","28.522","34.984","26.703","21.636",
