"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0551902024315","13.0805059443496","13.0370778859972","12.9328590416271","12.8130234747266","12.8184708435662","12.9251745085821","12.8679523196148","12.8476512869677","12.8502579162428","12.8186312661693","12.772040051106","12.7077251901404","12.4634460479878","12.2923898967569","12.2139516094152","12.1510158077205","12.091719741173","12.1077073532807","13.5637790374643","12.8848760300081","12.6849828037704","12.4732932744429","12.4239638558324","12.2206607243514","12.269577771264","12.255228080592","12.1756662638431","12.5984717230125","13.197994847499","13.2222466210127","13.3057646708723",
"Afghanistan","AFG","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.631","11.598","11.477","11.394","11.472","11.311","11.17","11.092","11.004","10.908","10.796","10.828","10.661","10.489","10.433","10.298","10.253","10.077","10.022","9.896","9.662","9.592","9.385","9.206","11.49","13.766","16.027","16.009","16.046","14.452","","",
"Africa Western and Central","AFW","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.70000465251954","8.7406842964439","8.81391176113378","8.81145327560134","8.79276680934882","8.83424310355156","8.89481479284201","8.94547481572225","9.21422691724516","9.29920753166338","9.19651206256586","9.00343010550547","8.98963424192566","8.9342297319062","8.92781700519438","8.77948747509483","8.67292755294342","8.6647744574151","8.69146653607412","8.69457362192496","8.64261878330489","8.30669084606671","7.49981725508812","7.97339041353422","8.45768401645343","8.32084735871675","8.46927499392254","8.54468363098333","8.66433525827023","9.89938497437021","9.36355221422862","9.23636138191796",
"Angola","AGO","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.184","11.259","11.435","11.213","11.085","11.067","11.096","11.099","11.109","11.092","11.052","10.945","11.025","10.942","10.897","10.893","10.844","10.85","10.933","17.794","17.225","16.918","16.874","16.872","16.854","16.828","16.727","16.682","16.597","18.118","17.623","17.384",
"Albania","ALB","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.668","54.836","45.764","38.035","25.641","25.236","30.823","34.985","36.535","33.547","31.657","30.484","28.994","27.961","27.432","26.982","27.792","26.373","26.479","30.148","24.892","32.551","33.525","43.556","39.644","37.63","34.023","29.906","27.953","31.343","30.062","28.262",
"Andorra","AND","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.4846736792889","23.8900929184348","25.2204448031675","25.050951482493","25.5967343733181","24.0643824048565","22.6927555843926","22.6960484784297","22.5346438180697","23.4593461157788","24.0822540761092","24.5498501082441","25.2341000868854","22.588619142949","23.1109122386175","21.7160810313695","20.6045553468402","20.2722244397229","18.2180465079432","18.6236484385404","21.3062288916712","22.8650211230685","23.184731432489","23.2884881742901","24.8590794291546","24.4599805425252","24.9214836470652","22.85853108174","21.8168171258804","24.3273688372844","23.4168050953461","22.647292334543",
"United Arab Emirates","ARE","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.937","4.904","4.955","4.978","5.055","5.247","5.252","5.385","5.46","5.529","5.75","5.899","6.026","6.233","6.358","5.889","5.472","5.103","4.978","4.81","4.706","4.643","4.521","4.385","4.22","4.063","5.43","5.085","5.528","12.798","8","6.53",
"Argentina","ARG","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.086","12.975","17.863","21.732","34.346","33.146","27.351","24.843","27.99","29.795","36.792","41.955","29.917","26.025","23.258","19.958","17.414","16.767","19.022","16.724","16.613","15.448","17.27","17.149","17.961","19.4","20.197","21.09","23.983","27.217","20.985","16.36",
